/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : 2019_03_13_Fernanda
  Data      : PEAD
  File Name : PEAD.RAW

# Profile Datafile
          comment             =  
          date & time         = 03-13-19 10:20:50 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 40.0 (mA)
    Slits
          divergence slit     = 1.00000 (mm)  
          scatter slit        = 1.00000 (mm)  
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =   15.000 -   40.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 1251 ]
  <2Theta>   <   I   >
    15.0000        74
    15.0200        80
    15.0400        94
    15.0600       104
    15.0800        82
    15.1000        92
    15.1200        84
    15.1400        94
    15.1600        78
    15.1800        90
    15.2000       104
    15.2200       110
    15.2400       102
    15.2600        96
    15.2800        82
    15.3000       100
    15.3200       118
    15.3400        92
    15.3600       104
    15.3800        98
    15.4000       104
    15.4200        88
    15.4400        78
    15.4600       110
    15.4800        98
    15.5000        86
    15.5200        88
    15.5400        88
    15.5600        94
    15.5800       106
    15.6000        90
    15.6200       100
    15.6400        82
    15.6600        94
    15.6800       108
    15.7000        90
    15.7200        92
    15.7400        96
    15.7600        96
    15.7800       100
    15.8000       124
    15.8200       120
    15.8400       108
    15.8600       114
    15.8800       112
    15.9000       106
    15.9200       120
    15.9400       106
    15.9600       100
    15.9800       108
    16.0000       116
    16.0200       106
    16.0400       134
    16.0600       124
    16.0800       112
    16.1000       100
    16.1200       120
    16.1400       118
    16.1600       128
    16.1800       116
    16.2000       134
    16.2200       120
    16.2400       130
    16.2600       142
    16.2800       126
    16.3000       108
    16.3200       122
    16.3400       128
    16.3600       132
    16.3800       126
    16.4000       132
    16.4200       118
    16.4400       158
    16.4600       128
    16.4800       126
    16.5000       130
    16.5200       134
    16.5400       142
    16.5600       122
    16.5800       128
    16.6000       122
    16.6200       118
    16.6400       128
    16.6600       122
    16.6800       150
    16.7000       162
    16.7200       130
    16.7400       134
    16.7600       156
    16.7800       146
    16.8000       154
    16.8200       170
    16.8400       130
    16.8600       174
    16.8800       154
    16.9000       140
    16.9200       144
    16.9400       152
    16.9600       164
    16.9800       152
    17.0000       160
    17.0200       168
    17.0400       166
    17.0600       130
    17.0800       150
    17.1000       150
    17.1200       160
    17.1400       168
    17.1600       134
    17.1800       154
    17.2000       172
    17.2200       160
    17.2400       170
    17.2600       162
    17.2800       172
    17.3000       176
    17.3200       150
    17.3400       182
    17.3600       170
    17.3800       156
    17.4000       174
    17.4200       174
    17.4400       158
    17.4600       196
    17.4800       184
    17.5000       166
    17.5200       190
    17.5400       176
    17.5600       198
    17.5800       182
    17.6000       204
    17.6200       184
    17.6400       162
    17.6600       202
    17.6800       206
    17.7000       194
    17.7200       204
    17.7400       180
    17.7600       206
    17.7800       176
    17.8000       214
    17.8200       220
    17.8400       196
    17.8600       200
    17.8800       202
    17.9000       204
    17.9200       228
    17.9400       200
    17.9600       218
    17.9800       212
    18.0000       222
    18.0200       210
    18.0400       234
    18.0600       198
    18.0800       236
    18.1000       194
    18.1200       230
    18.1400       224
    18.1600       228
    18.1800       252
    18.2000       238
    18.2200       218
    18.2400       234
    18.2600       216
    18.2800       266
    18.3000       244
    18.3200       242
    18.3400       232
    18.3600       248
    18.3800       230
    18.4000       276
    18.4200       240
    18.4400       258
    18.4600       250
    18.4800       246
    18.5000       280
    18.5200       260
    18.5400       264
    18.5600       250
    18.5800       280
    18.6000       248
    18.6200       274
    18.6400       258
    18.6600       290
    18.6800       294
    18.7000       272
    18.7200       286
    18.7400       268
    18.7600       272
    18.7800       282
    18.8000       324
    18.8200       290
    18.8400       282
    18.8600       272
    18.8800       272
    18.9000       288
    18.9200       306
    18.9400       308
    18.9600       310
    18.9800       318
    19.0000       308
    19.0200       316
    19.0400       310
    19.0600       328
    19.0800       324
    19.1000       320
    19.1200       344
    19.1400       344
    19.1600       346
    19.1800       326
    19.2000       346
    19.2200       346
    19.2400       314
    19.2600       330
    19.2800       324
    19.3000       326
    19.3200       344
    19.3400       318
    19.3600       354
    19.3800       334
    19.4000       360
    19.4200       344
    19.4400       340
    19.4600       330
    19.4800       334
    19.5000       392
    19.5200       360
    19.5400       360
    19.5600       362
    19.5800       352
    19.6000       372
    19.6200       386
    19.6400       354
    19.6600       366
    19.6800       358
    19.7000       372
    19.7200       332
    19.7400       338
    19.7600       316
    19.7800       332
    19.8000       384
    19.8200       334
    19.8400       370
    19.8600       372
    19.8800       386
    19.9000       390
    19.9200       362
    19.9400       410
    19.9600       414
    19.9800       398
    20.0000       406
    20.0200       428
    20.0400       450
    20.0600       460
    20.0800       516
    20.1000       486
    20.1200       490
    20.1400       532
    20.1600       584
    20.1800       612
    20.2000       616
    20.2200       662
    20.2400       676
    20.2600       680
    20.2800       682
    20.3000       780
    20.3200       818
    20.3400       780
    20.3600       856
    20.3800       910
    20.4000       938
    20.4200       994
    20.4400      1016
    20.4600      1078
    20.4800      1118
    20.5000      1142
    20.5200      1198
    20.5400      1172
    20.5600      1188
    20.5800      1168
    20.6000      1126
    20.6200      1186
    20.6400      1112
    20.6600      1098
    20.6800      1090
    20.7000      1066
    20.7200      1078
    20.7400      1052
    20.7600      1024
    20.7800      1024
    20.8000      1054
    20.8200      1066
    20.8400      1130
    20.8600      1082
    20.8800      1084
    20.9000      1140
    20.9200      1278
    20.9400      1280
    20.9600      1268
    20.9800      1238
    21.0000      1270
    21.0200      1286
    21.0400      1348
    21.0600      1370
    21.0800      1492
    21.1000      1522
    21.1200      1642
    21.1400      1652
