/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : 2019_03_13_Fernanda
  Data      : PP
  File Name : PP.RAW

# Profile Datafile
          comment             =  
          date & time         = 03-13-19 10:47:29 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 40.0 (mA)
    Slits
          divergence slit     = 1.00000 (mm)  
          scatter slit        = 1.00000 (mm)  
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =   15.000 -   40.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 1251 ]
  <2Theta>   <   I   >
    15.0000       306
    15.0200       278
    15.0400       278
    15.0600       314
    15.0800       268
    15.1000       312
    15.1200       322
    15.1400       302
    15.1600       296
    15.1800       342
    15.2000       306
    15.2200       334
    15.2400       302
    15.2600       358
    15.2800       334
    15.3000       330
    15.3200       338
    15.3400       330
    15.3600       328
    15.3800       344
    15.4000       320
    15.4200       332
    15.4400       336
    15.4600       330
    15.4800       346
    15.5000       344
    15.5200       338
    15.5400       336
    15.5600       390
    15.5800       376
    15.6000       366
    15.6200       366
    15.6400       420
    15.6600       418
    15.6800       370
    15.7000       392
    15.7200       408
    15.7400       414
    15.7600       484
    15.7800       430
    15.8000       502
    15.8200       504
    15.8400       560
    15.8600       510
    15.8800       564
    15.9000       596
    15.9200       660
    15.9400       628
    15.9600       678
    15.9800       696
    16.0000       702
    16.0200       748
    16.0400       692
    16.0600       666
    16.0800       648
    16.1000       598
    16.1200       598
    16.1400       596
    16.1600       566
    16.1800       534
    16.2000       516
    16.2200       548
    16.2400       532
    16.2600       538
    16.2800       560
    16.3000       520
    16.3200       548
    16.3400       612
    16.3600       546
    16.3800       566
    16.4000       564
    16.4200       580
    16.4400       566
    16.4600       636
    16.4800       552
    16.5000       648
    16.5200       658
    16.5400       644
    16.5600       690
    16.5800       718
    16.6000       694
    16.6200       702
    16.6400       798
    16.6600       840
    16.6800       862
    16.7000       850
    16.7200       870
    16.7400       932
    16.7600       910
    16.7800      1008
    16.8000       926
    16.8200       960
    16.8400       924
    16.8600       910
    16.8800       898
    16.9000       856
    16.9200       842
    16.9400       750
    16.9600       772
    16.9800       700
    17.0000       614
    17.0200       604
    17.0400       580
    17.0600       508
    17.0800       494
    17.1000       442
    17.1200       456
    17.1400       446
    17.1600       420
    17.1800       414
    17.2000       400
    17.2200       388
    17.2400       342
    17.2600       368
    17.2800       354
    17.3000       388
    17.3200       404
    17.3400       402
    17.3600       376
    17.3800       348
    17.4000       376
    17.4200       392
    17.4400       408
    17.4600       388
    17.4800       374
    17.5000       368
    17.5200       380
    17.5400       396
    17.5600       376
    17.5800       404
    17.6000       436
    17.6200       390
    17.6400       430
    17.6600       386
    17.6800       366
    17.7000       408
